# nom: Empire Immo - M8
# description: Liste des bâtiments du monde 8
# taux_promoteur: 73
# mise_a_jour: 2026-07-28 08:00:07
# -----------------------------
type,nom,niveau,valeur,loyer,charge,impot,promotion,construction,embellissement,reparation
bureaux,"500m² de bureaux vides",0,342223,0,0,192,0,278038,68788,42826
bureaux,"500m² de bureaux aménagés",1,448628,5854,487,192,0,302009,145903,102176
bureaux,"500m² de bureaux tout équipés",2,481016,8006,608,206,0,417620,173148,158210
bureaux,"500m² de bureaux grand standing",3,441019,15301,2134,726,0,528823,0,214583
bureaux,"1300m² de bureaux vides",0,610339,0,0,379,0,689863,81051,69105
bureaux,"1300m² de bureaux aménagés",1,626688,15481,1048,490,0,541495,96821,145448
bureaux,"1300m² de bureaux tout équipés",2,518253,17256,1446,647,0,542146,246556,229867
bureaux,"1300m² de bureaux grand standing",3,692160,22174,2555,954,0,820645,0,311853
bureaux,"2100m² de bureaux vides",0,515822,0,0,590,0,668250,64050,55372
bureaux,"2100m² de bureaux aménagés",1,616767,21994,1910,894,0,644273,153249,153516
bureaux,"2100m² de bureaux tout équipés",2,672235,23829,2246,938,0,725696,410792,269864
bureaux,"2100m² de bureaux grand standing",3,826686,34270,3480,1401,0,995836,0,379668
bureaux,"3000m² de bureaux vides",0,895287,0,0,1123,0,1031670,213591,131005
bureaux,"3000m² de bureaux aménagés",1,1013035,36657,3102,1310,0,1198533,236620,275023
bureaux,"3000m² de bureaux tout équipés",2,1401785,42337,3699,1387,0,1236462,922499,497306
bureaux,"3000m² de bureaux grand standing",3,2324408,54980,4311,1725,0,2207876,0,797025
bureaux,"Immeuble d'entreprise vide",0,15628905,0,0,12090,0,16947175,9161946,4472860
bureaux,"Immeuble d'entreprise aménagé",1,18322578,649138,37858,12176,0,22800281,12169698,6650125
bureaux,"Immeuble d'entreprise tout équipé",2,23181167,807849,42870,13474,0,26048133,24923055,9688730
bureaux,"Immeuble d'entreprise grand standing",3,38993122,1085134,55438,19468,0,48289282,0,14769941
bureaux,"Gratte-ciel vide",0,444541079,0,0,312782,0,464511161,109703894,91981019
bureaux,"Gratte-ciel aménagé",1,472088364,16906510,1067837,351799,0,512675319,76906464,164016020
bureaux,"Gratte-ciel tout équipé",2,500925774,18015286,1172718,352130,0,503881716,289390627,217829372
bureaux,"Gratte-ciel grand standing",3,693919134,22777648,1401054,439763,0,665922554,0,299694440
commerciaux,"Local vide",0,156679,0,0,195,0,169579,107030,45765
commerciaux,"Local aménagé",1,291429,7618,561,198,0,237394,130915,91204
commerciaux,"Local tout équipé",2,372702,14433,2058,721,0,309444,236604,144751
commerciaux,"Local de haut standing",3,463383,18953,2222,846,0,627582,0,217206
commerciaux,"Grand local vide",0,457918,0,0,852,0,491865,118021,92087
commerciaux,"Grand local aménagé",1,566508,23457,2827,950,0,555271,596445,221806
commerciaux,"Grand local tout équipé",2,872747,34827,3210,1390,0,804066,2249508,373280
commerciaux,"Grand local de haut standing",3,1748429,65907,5805,2194,0,2041754,0,724481
commerciaux,"Espace commercial vide",0,5489047,0,0,5746,0,5211662,3086689,1759210
commerciaux,"Espace commercial aménagé",1,6028767,208258,11775,5847,0,6948637,6642098,2427462
commerciaux,"Espace commercial tout équipé",2,8466499,279900,14979,6397,0,7768794,11083031,3679268
commerciaux,"Espace commercial de haut standing",3,11291837,384031,19714,6918,0,12713341,0,5348632
commerciaux,"Centre commercial vide",0,50993671,0,0,56666,0,48177003,67536672,16339201
commerciaux,"Centre commercial aménagé",1,68981070,2232543,107696,44634,0,69118031,93072745,26694015
commerciaux,"Centre commercial tout équipé",2,105820920,3432118,157265,54665,0,106643997,113384010,43819969
commerciaux,"Centre commercial de haut standing",3,225067409,5664660,186185,64517,0,197340881,0,79280894
industriels,"Atelier inexploitable",0,68950,0,0,140,0,88674,54725,20930
industriels,"Atelier utilisable",1,160142,4146,496,180,0,128455,46674,45052
